subject_id	subject_label	predicate_id	object_id	object_label	confidence	comment	mapping_justification	mapping_date	author_id
LTER:800	physiological processes	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:803	SWE	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:84	canopy gaps	skos:relatedMatch	ENVO:01001239	forest canopy	1		The subject and object do not exhibit a close or exact match, and are not hierarchically related, but are related.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:29	amino acids	skos:exactMatch	CHEBI:33709	amino acids	1		The subject definition matches the object definition exactly.	2022-09-09	https://orcid.org/0000-0003-2261-9931
LTER:393	organic matter	skos:exactMatch	ENVO:01000155	organic material	1		The subject is undefined but the context within the vocabulary tree makes it clear that the object alignment is exact.	2022-09-09	https://orcid.org/0000-0003-2261-9931
LTER:526	soil nutrients	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:343	mites	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:656	biological processes	skos:exactMatch	GO:0008150	biological_process	1		The subject is undefined but the context within the vocabulary tree makes it clear that the object alignment is exact.	2022-09-07	https://orcid.org/0000-0003-2261-9931
LTER:615	viruses	skos:exactMatch	NCBITaxon:10239	Viruses	1		The subject and object are undefined but the labels match and the context within the vocabulary trees makes it clear that alignment is exact.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:452	protozoa	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:181	erosion	skos:exactMatch	ENVO:01001346	erosion	1		The subject is undefined but the context within the vocabulary tree makes it clear that the object alignment is exact.	2022-09-08	https://orcid.org/0000-0003-2261-9931
LTER:443	precipitation	skos:broadMatch	ENVO:01000875	precipitation process	1		An exact match for the subject cannot be found. However, from the subjects context in the vocabulary tree, the subject matches the broader object.	2022-09-08	https://orcid.org/0000-0003-2261-9931
LTER:571	surveys	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:535	soil	skos:exactMatch	ENVO:00001998	soil	1		The subject definition matches the object definition exactly.	2022-09-10	https://orcid.org/0000-0003-2261-9931
LTER:81	Ca	skos:exactMatch	CHEBI:22984	calcium atom	1		The subject definition matches the object definition exactly.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:320	mammals	skos:exactMatch	NCBITaxon:40674	Mammalia	1		The subject and object are undefined but the context within the vocabulary trees makes it clear that alignment is exact.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:987	soil phosphorus	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:344	modeling	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:319	magnesium	skos:exactMatch	CHEBI:25107	magnesium atom	1		The subject definition matches the object definition exactly.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:79	burning	skos:broadMatch	ENVO:01000839	combustion process	1		The subject definition suggests a narrower scope than that of the object	2022-09-08	https://orcid.org/0000-0003-2261-9931
LTER:107	clearcuts	skos:broadMatch	ENVO:02500005	land degradation	0.75		Clearcutting has both land degradation and land restoration components, with support for the latter seeming much weaker (https://en.wikipedia.org/wiki/Clearcutting).	2022-09-05	https://orcid.org/0000-0003-2261-9931
LTER:193	fine roots	skos:broadMatch	PO:0009005	root	1		An exact match for the subject cannot be found. However, from the subjects context in the vocabulary tree, the subject matches the broader object.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:353	mortality	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:424	plant communities	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:899	boundaries	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:372	N	skos:exactMatch	CHEBI:51143	nitrogen molecular entity	1		The subject definition matches the object definition exactly.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:564	subsidence	skos:exactMatch	ENVO:01000694	geological subsidence	1		The subject definition matches the object definition exactly.	2022-09-08	https://orcid.org/0000-0003-2261-9931
LTER:386	ocean currents	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:58	basins	skos:exactMatch	ENVO:03000015	geographic basin	1		The subject is undefined but the context within the vocabulary tree makes it clear that the object alignment is exact.	2022-09-09	https://orcid.org/0000-0003-2261-9931
LTER:513	snow	skos:exactMatch	ENVO:01000406	snow	1		The subject definition matches the object definition exactly.	2022-09-09	https://orcid.org/0000-0003-2261-9931
LTER:807	aerial imagery	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:596	trapping	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:521	soil chemistry	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:571	survey	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:306	liverworts	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:248	history	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:325	marine	skos:exactMatch	ENVO:01001788	marine ecosystem	1		LTER "marine" has no definition but the context within the vocabulary tree makes it clear that alignment with ENVO "marine ecosystem" is exact.	2022-09-06	https://orcid.org/0000-0003-2261-9931
LTER:516	snow temperature	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:204	fluorine	skos:exactMatch	CHEBI:36892	elemental fluorine	1		The subject definition matches the object definition exactly.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:252	humic soils	skos:broadMatch	ENVO:00001998	soil	1		An exact match for the subject cannot be found. However, from the subjects context in the vocabulary tree, the subject matches the broader object.	2022-09-10	https://orcid.org/0000-0003-2261-9931
LTER:925	warming	skos:exactMatch	ENVO:01001612	material warming process	0.9		The subject is undefined but the context within the vocabulary tree makes it clear that the object alignment is exact.	2022-09-08	https://orcid.org/0000-0003-2261-9931
LTER:362	nematodes	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:5	aboveground production	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:224	GIS	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:955	beach	skos:closeMatch	ENVO:00000091	beach	1		LTER "beaches" has a "use for" relationship with LTER "beach".	2022-09-06	https://orcid.org/0000-0003-2261-9931
LTER:537	soluble reactive phosphorus	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:374	nitrogen content	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-09-10	https://orcid.org/0000-0003-2261-9931
LTER:512	snails	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:288	leaf area	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-09-10	https://orcid.org/0000-0003-2261-9931
LTER:914	cones	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:689	translocation	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:39	ants	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:700	oceanography	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:316	macroalgae	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:6	abundance	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:705	spatial methods	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:473	riparian	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:21	air quality	skos:relatedMatch	ENVO:02500037	air pollution	1		An exact match for the subject cannot be found. However, from the subjects context in the vocabulary tree, the subject matches the broader object.	2022-09-10	https://orcid.org/0000-0003-2261-9931
LTER:549	specific leaf area	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-09-10	https://orcid.org/0000-0003-2261-9931
LTER:42	aquatic invertebrates	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:76	buildings	skos:exactMatch	ENVO:00000073	buildings	1		The subject is undefined but the context within the vocabulary tree makes it clear that the object alignment is exact.	2022-09-09	https://orcid.org/0000-0003-2261-9931
LTER:798	terrestrial ecosystems	skos:exactMatch	ENVO:01001790	terrestrial ecosystems	1		LTER "terrestrial ecosystem" and ENVO "terrestrial ecosystem" are missing definitions but the context within each resource tree makes it clear that alignment is exact.	2022-09-06	https://orcid.org/0000-0003-2261-9931
LTER:272	ions	skos:exactMatch	CHEBI:24870	ion	1		The subject definition matches the object definition exactly.	2022-09-09	https://orcid.org/0000-0003-2261-9931
LTER:213	forest floor	skos:exactMatch	ENVO:01001582	forest floor	1		The subject is undefined but the context within the vocabulary tree makes it clear that the object alignment is exact.	2022-09-09	https://orcid.org/0000-0003-2261-9931
LTER:477	root	skos:exactMatch	PO:0009005	root	1		The subject is undefined but the context within the vocabulary tree makes it clear that the object alignment is exact.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:48	atmosphere	skos:exactMatch	ENVO:01000267	atmosphere	1		The subject definition matches the object definition exactly.	2022-09-09	https://orcid.org/0000-0003-2261-9931
LTER:379	nitrogen-15	skos:exactMatch	CHEBI:36934	nitrogen-15 atom	1		The subject definition matches the object definition exactly.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:324	maps	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:913	concentration	skos:exactMatch	PATO:0000033	concentration of	1		The subject is undefined but the context within the vocabulary tree makes it clear that the object alignment is exact.	2022-09-10	https://orcid.org/0000-0003-2261-9931
LTER:225	geomorphology	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:977	PYR	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:262	ice	skos:exactMatch	ENVO:01000277	water ice	1		The subject definition matches the object definition exactly.	2022-09-09	https://orcid.org/0000-0003-2261-9931
LTER:412	phaeopigments	skos:relatedMatch	CHEBI:28966	chlorophyll	1		The subject is a derivative of the object.	2022-09-09	https://orcid.org/0000-0003-2261-9931
LTER:534	soil water content	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-09-10	https://orcid.org/0000-0003-2261-9931
LTER:190	ferns	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:231	grasshopper	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:922	inorganic nitrogen	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:472	rhizosphere	skos:exactMatch	ENVO:00005801	rhizosphere	1		The subject definition matches the object definition exactly.	2022-09-09	https://orcid.org/0000-0003-2261-9931
LTER:328	mass balance	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:694	substrates	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:465	reproduction	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:129	core	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:507	simulation	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:441	porosity	skos:exactMatch	PATO:0000973	porosity	1		The subject definition matches the object definition exactly.	2022-09-10	https://orcid.org/0000-0003-2261-9931
LTER:897	albedo	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:293	leaf	skos:exactMatch	PO:0025034	leaf	1		The subject definition matches the object definition exactly.	2022-09-10	https://orcid.org/0000-0003-2261-9931
LTER:479	runoff	skos:broadMatch	ENVO:01000982	water flow process	1		An exact match for the subject cannot be found. However, from the subjects context in the vocabulary tree, the subject matches the broader object.	2022-09-08	https://orcid.org/0000-0003-2261-9931
LTER:567	sulfate	skos:exactMatch	CHEBI:35175	sulfate salt	1		The subject definition matches the object definition exactly.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:70	bogs	skos:broadMatch	ENVO:00000044	peatland	1	Assuming the definition at: https://en.wikipedia.org/wiki/Bog	The subject lacks definition to align with one or more bog types in ENVO.	2022-09-07	https://orcid.org/0000-0003-2261-9931
LTER:883	NEE	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:206	foliage	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:303	litter decomposition	skos:broadMatch	ENVO:06105014	biodegradation	1		An exact match for the subject cannot be found. However, the subject has a broader term that does have a match.	2022-09-07	https://orcid.org/0000-0003-2261-9931
LTER:49	atmospheric deposition	skos:broadMatch	ENVO:03000054	depositional process	1		An exact match for the subject cannot be found. However, from the subjects context in the vocabulary tree, the subject matches the broader object.	2022-09-08	https://orcid.org/0000-0003-2261-9931
LTER:638	woody debris	skos:broadMatch	ENVO:00002040	wood	1		An exact match for the subject cannot be found. However, from the subjects context in the vocabulary tree, the subject matches the broader object.	2022-09-09	https://orcid.org/0000-0003-2261-9931
LTER:15	advection	skos:exactMatch	ENVO:01001334	advective transport process	1		The subject definition matches the object definition exactly. Note, the subject definition indicates that its placement within the vocabulary is incorrect.	2022-09-08	https://orcid.org/0000-0003-2261-9931
LTER:546	species richness	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:285	larvae	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:569	sulfur	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:636	winter	skos:exactMatch	ENVO:03000098	cold season	1		The subject definition matches the object definition exactly.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:562	streams	skos:closeMatch	ENVO:00000023	stream	1		LTER "streams" has the broader term "ecosystems" and therefore within the context of an ecosystem (comprised of living and non-living entities) whereas ENVO "stream" is a "fiat object" refering to only abiotic entities and is therefor not an exact match to a stream ecosystem.	2022-09-06	https://orcid.org/0000-0003-2261-9931
LTER:127	coral reef	skos:closeMatch	ENVO:00000150	coral reef	1		LTER "coral reefs" has a "use for" relationship with LTER "coral reef".	2022-09-06	https://orcid.org/0000-0003-2261-9931
LTER:22	air temperature	skos:exactMatch	ENVO:09200001	temperature of air	1		The subject is undefined but the context within the vocabulary tree makes it clear that the object alignment is exact.	2022-09-10	https://orcid.org/0000-0003-2261-9931
LTER:543	species diversity	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:370	nitrification	skos:broadMatch	ENVO:01001330	nitrogen cycling	1		The subject does not have an exact match but does have a broad match based on the subject definition and context in the vocabulary tree.	2022-09-07	https://orcid.org/0000-0003-2261-9931
LTER:923	dissolved inorganic nitrogen	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:283	landscape	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:945	mass movement	skos:exactMatch	ENVO:03000010	material transport process	1		The subject is undefined but the context within the vocabulary tree makes it clear that the object alignment is exact.	2022-09-09	https://orcid.org/0000-0003-2261-9931
LTER:84	canopy gap	skos:relatedMatch	ENVO:01001239	forest canopy	1		The subject and object do not exhibit a close or exact match, and are not hierarchically related, but are related.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:423	plant biomass	skos:broadMatch	ENVO:01000155	organic material	1		An exact match for the subject cannot be found. However, from the subjects context in the vocabulary tree, the subject matches the broader object.	2022-09-10	https://orcid.org/0000-0003-2261-9931
LTER:326	marsh	skos:exactMatch	ENVO:00000035	marsh	1		The subject is undefined but the context within the vocabulary tree makes it clear that the object alignment is exact.	2022-09-07	https://orcid.org/0000-0003-2261-9931
LTER:261	hyporheic zone	skos:relatedMatch	ENVO:00000383	stream bed	1		The subject occurs in close spatial proximity to the object.	2022-09-09	https://orcid.org/0000-0003-2261-9931
LTER:297	lichens	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:290	leaf decomposition	skos:broadMatch	ENVO:06105014	biodegradation	1		An exact match for the subject cannot be found. However, the subject has a broader term that does have a match.	2022-09-07	https://orcid.org/0000-0003-2261-9931
LTER:517	snowfences	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:270	inventories	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:573	survivorship	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:618	water balance	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:257	hydrogen ions	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:1	trees	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:368	NO3	skos:exactMatch	CHEBI:17632	nitrate	1		The subject and object are undefined but the context within the vocabulary trees make it clear that alignment is exact.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:178	emissions	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:471	revegetation	skos:exactMatch	ENVO:02500032	planned revegetation	0.75	Uncertainty lies in whether this is an active ecosystem management process or a naturally occurring process	The subject definition matches the object definition exactly.	2022-09-09	https://orcid.org/0000-0003-2261-9931
LTER:17	agriculture	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:1	tree	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:395	organisms	skos:exactMatch	OBI:0100026	organism	1		The subject definition matches the object definition exactly.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:970	eddy covariance	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:928	resource management	skos:broadMatch	ENVO:01001170	active ecosystem management process	1		The subject constrains the definition to maintenance or improvement, for which an equivalent object cannot be found in ENVO.	2022-09-07	https://orcid.org/0000-0003-2261-9931
LTER:379	15N	skos:exactMatch	CHEBI:36934	nitrogen-15 atom	1		The subject definition matches the object definition exactly.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:135	dataloggers	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:650	inorganic matter	skos:closeMatch	CHEBI:24835	inorganic molecular entity	1		The subject and object do not exhibit a close or exact match, and are not hierarchically related, but are related.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:301	limnology	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:478	rotifers	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:87	carbon assimilation	skos:broadMatch	ENVO:02500010	carbon cycling	1	The subject is composed of two concepts, primary production and chemosynthesis. Primary production is in ENVO but chemosynthesis is not.	An exact match for the subject cannot be found. However, from the subjects context in the vocabulary tree, the subject matches the broader object.	2022-09-07	https://orcid.org/0000-0003-2261-9931
LTER:4	aboveground biomass	skos:broadMatch	ENVO:01000155	organic material	1		An exact match for the subject cannot be found. However, from the subjects context in the vocabulary tree, the subject matches the broader object.	2022-09-10	https://orcid.org/0000-0003-2261-9931
LTER:189	fauna	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:563	strontium	skos:exactMatch	CHEBI:33324	strontium atom	1		The subject definition matches the object definition exactly.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:70	bog	skos:exactMatch	ENVO:00000044	peatland	1		The subject definition matches the object definition exactly.	2022-09-07	https://orcid.org/0000-0003-2261-9931
LTER:918	dbh	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-09-10	https://orcid.org/0000-0003-2261-9931
LTER:640	zinc	skos:exactMatch	CHEBI:27363	zinc atom	1		The subject definition matches the object definition exactly.	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:643	substances	skos:exactMatch	ENVO:00010483	environmental material	1		The subject is undefined but the context within the vocabulary tree makes it clear that the object alignment is exact.	2022-09-09	https://orcid.org/0000-0003-2261-9931
LTER:492	sedimentation	skos:broadMatch	ENVO:03000009	material accumulation process	1		An exact match for the subject cannot be found. However, from the subjects context in the vocabulary tree, the subject matches the broader object.	2022-09-08	https://orcid.org/0000-0003-2261-9931
LTER:495	seed dispersal	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
LTER:50	barometric pressure	skos:exactMatch	sssom:NoMapping		1		No match can be found for this subject	2022-10-22	https://orcid.org/0000-0003-2261-9931
